tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,Language,Country,Budget,Box_Office,Plot
tt0002605,The Adventures of Kathlyn,1913,300,['Adventure'],5.4,52,"['nm0931031', 'nm0165134', 'nm0139356', 'nm0571186', 'nm0764346']",N/A,United States,,,"The daughter of an adventurer in India is kidnapped by a native king, whom she is forced to marry. She has several adventures battling natives and wild animals."
tt0008816,Adam Bede,1918,60,"['Crime', 'Drama']",,,"['nm0930154', 'nm0167087', 'nm0519307', 'nm0024706', 'nm0667438']",Silent,United Kingdom,,,A squire's grandson saves a farmer's niece from the charge of murdering her bastard baby.
tt0010953,Algol: Tragedy of Power,1920,99,"['Fantasy', 'Sci-Fi']",6.3,339,"['nm0417837', 'nm0332024', 'nm0772300', 'nm0707765', 'nm0603803']",Silent,Weimar Republic,,,"The story follows the life of Robert Herne, who works in a coal mine, and his friendship with Maria Obal. While working in the mine, he encounters an inhabitant of a planet of the star Algol who gives him a prototype machine which can provide a virtually unlimited source of power. Over the next year, Herne sets up a factory providing energy; however, instead of simply relieving workers of the difficult job of mining, the device creates massive economic upheaval throughout the world. Over the next 20 years, Herne continues to increase his power and influence, but he has lost touch with Maria who now lives in the one part of the world to which his influence does not extend. The film follows the machinations of Herne's son Reginald and his – ultimately unsuccessful – attempt at a coup, aiming to seize the secrets of the machine for himself. Meanwhile, Maria has had a son who travels to meet Herne to ask for his assistance: his country's coal reserves have expired. Herne initially refuses assistance; Maria visits him to ask in person. He comes to realise the extent to which he has been corrupted by power. In a moment of realisation, Herne destroys the machine, thereby preventing his son from taking control after his death."
tt0011908,Adventures of Tarzan,1921,73,"['Action', 'Adventure']",5.5,187,"['nm0511104', 'nm0521120', 'nm0671501', 'nm0926386', 'nm0597595']",Hindi,N/A,,,"This is the popular story of Tarzan retold in the Hindi language. Ruby Shetty and her widowed dad live a wealthy lifestyle. Ruby's father often travels to the deep jungles of India in search of a fabled tribe in the Shakabhoomi region. The people who have tried to trace the tribe have never returned. This time Ruby also decides to accompany her father. Ruby is introduced to a man named D.K. by her father and he would like her to marry D.K. Days later, Ruby does a number of misadventures and is rescued by an ape-like man called Tarzan and both fall in love. Tarzan has never interacted with the outside world and cannot speak any language well, but he is intrigued by Ruby, annoying D.K. Ruby's dad and D.K plan to capture Tarzan and take him to work for the Apollo Circus, owned by Krishnakant Verma. Tarzan is captured before Tarzan and Ruby's romance could take wing. Tarzan is chained and taken to the circus and made to spend the rest of his days performing various acts, thus leaving D.K. to marry Ruby. Would Tarzan escape from the circus? Would Ruby agree to marry D.K.? All these questions are answered in the climax."
tt0011909,The Affairs of Anatol,1921,117,"['Comedy', 'Drama']",6.6,1428,"['nm0717468', 'nm0841797', 'nm0223296', 'nm0199841', 'nm0089524']",Silent,United States,0.176508,1.2,"Socialite Anatol Spencer, finding his relationship with his wife Vivian lackluster, goes in search of excitement. After bumping into old flame Emilie Dixon at a nightclub, Anatol promises to ""rescue"" her from her soulless city lifestyle, which lecherous theatrical backer Gordon Bronson has enabled. Anatol convinces Emilie to discard the jewelry that Bronson has given her, but refuses to give up his wife in turn. Emilie invites Bronson and others to a party at the apartment. When Anatol finds out, he trashes the room and leaves Emilie to her fate: marriage to Bronson. With the affair over, Anatol tells Vivian to promise to stop him the next time he attempts to ""rescue"" a woman. Some time later, Anatol and Vivian throw a party, with Hindu hypnotist Nazzer Singh acting as entertainment. Singh hypnotizes Vivian into believing that she is wading through a stream, and she begins undressing. Disgusted with the hypocrisies of high society (which has shown itself to not be much better than Emilie and Bronson's world), Anatol decides to move with his wife to the countryside. Meanwhile, farmer Abner Elliott discovers that his wife Annie has purchased a dress using money stolen from his lockbox of church funds. He rebuffs her and sends her away, resolving to take the blame for the theft. Repenting, Annie throws herself off of a bridge into a river just as Anatol and Vivian are rowing past in a boat. The two quickly bring her to shore and, after realizing that they cannot wake her up, Vivian takes their car to find a local doctor. Anatol finds that Annie is awake and she manipulates him into letting her take his wallet. When Vivian returns with the doctor, Annie is kissing Anatol, not knowing that he is married. As Annie leaves to make amends with her husband (lying about how she obtained the money), Anatol, now disillusioned with the country life as well, asks the doctor where he can find ""honesty and loyalty"". The doctor responds that those qualities, like charity, ""start at home"". Anatol and Vivian return to the city, where Vivian plans to leave her husband for his perceived infidelity. The two separately go out to enjoy the nightlife and forgot their troubles. Anatol meets Satan Synne, an infamously devilish performer. He offers to go home with her, but she only accepts after receiving a telephone call from a Dr. Johnston. At Synne's apartment, she offers Anatol a drink that impairs judgment and asks him for three thousand dollars. After she faints upon receiving another call from Dr. Johnston, it is revealed that Synne's immoral lifestyle is only a means to gather money to pay for expensive surgeries for her husband, a dying World War I veteran. Anatol gives her the three thousand dollars and leaves as she falls to her knees in prayer. Anatol returns home, finding that Vivian is still out on the town. She eventually returns with his best friend Max Runyon, whom she has been spending more time with while her husband is busy. When Max is evasive about whether she has been unfaithful, Anatol convinces Singh (who is leaving the United States) to hypnotize Vivian into truthfully answering the question of whether she has been. Ultimately, Anatol decides that he trusts his wife too much to accuse her of cheating and breaks the trance. The two happily embrace and kiss."
tt0011912,After the Show,1921,60,"['Drama', 'Romance']",6.2,16,"['nm0392442', 'nm0497759', 'nm0644728', 'nm0816123', 'nm0206581']",Silent,United States,,,"As described in a film magazine, country girl Eileen comes to New York City to make her career on the stage. She is rescued from want by Pop O'Malley, an aged actor who works as a door keeper, and finds employment in the chorus. Larry Taylor, a wealthy man-about-town, seeks to win her without benefit of clergy. She falls in love with him and, against Pop's instructions, goes to his house. Knowing what awaits her there, Pop follows her with a resulting dramatic ending."
tt0013822,Alice Adams,1923,73,['Drama'],4.2,19,"['nm0896538', 'nm0319257', 'nm0329467', 'nm0574739', 'nm0725529']",N/A,N/A,,,"In the small town of South Renford, Alice Adams comes from a working class background, although she aspires to be among the upper class. Alice's mother blames her husband for their low social standing, despite his working hard and Alice not blaming him for anything. Regardless, Alice tries to do whatever necessary to put on appearances of wealth and social standing, despite everyone in that class in town knowing who she is, and thus largely ignoring her because of her false airs. First meeting at a society ball, Alice surprisingly catches the eye of Arthur Russell, surprisingly as he purportedly is engaged to débutante Mildred Palmer. As Alice continues to hide her true social standing from Arthur as he courts her, Mrs. Adams pressures Mr. Adams into doing something he doesn't want to do in an effort truly to become part of the business class, that measure which entails sinking all his money into a business venture. Beyond the time when Arthur finds out the true nature behind Alice's facade, other issues may bring the fragile Adams society house of cards tumbling down around them, and thus the happiness Alice is seeking with Arthur."
tt0015532,The Adventures of Prince Achmed,1926,80,"['Adventure', 'Animation', 'Drama']",7.8,7700,,Silent,Germany,,100.0,"An African sorcerer conjures up a flying horse, which he shows to the Caliph. When the sorcerer refuses to sell it for any amount of gold, the Caliph offers any treasure he has. The sorcerer chooses Dinarsade, the Caliph's daughter, to her great distress. Prince Achmed, Dinarsade's brother, objects, but the sorcerer persuades him to try out the horse. The prince does not know how to control the horse, so it carries the prince away, higher and higher into the sky. The Caliph has the sorcerer imprisoned. When Achmed discovers how to make the horse descend, he finds himself in a strange foreign land, a magical island called Wak Wak. He is greeted by a bevy of attractive maidens. When they begin fighting for his attention, he flies away to a lake. There, he watches as Pari Banu, the beautiful ruler of the land of Wak Wak, arrives with her attendants to bathe. When they spot him, they all fly away, except for Pari Banu, for Achmed has her magical flying feather costume. She flees on foot, but he captures her. He gains her trust when he returns her feathers. They fall in love. She warns him, however, that the demons of Wak Wak will try to kill him. The sorcerer frees himself from his chains. Transforming himself into a bat, he seeks out Achmed. The prince chases the sorcerer (who has turned into a kangaroo) and falls into a pit. While Achmed fights a giant snake, the sorcerer takes Pari Banu to China and sells her to the Emperor. The sorcerer returns and pins Achmed under a boulder on top of a mountain. However, the Witch of the Flaming Mountain notices him and rescues Achmed. The sorcerer is her arch-enemy, so she helps Achmed rescue Pari Banu from the Emperor. Then, the demons of Wak Wak find the couple and, despite Achmed's fierce resistance, carry Pari Banu off. Achmed forces a captive demon to fly him to Wak Wak. However, the gates of Wak Wak are locked. He then slays a monster who is attacking a boy named Aladdin. Aladdin tells of how he, a poor tailor, was recruited by the sorcerer to retrieve a magic lamp from a cave. When Aladdin returned to the cave entrance, the sorcerer demanded the lamp before letting him out. Aladdin refused, so the sorcerer sealed him in. Aladdin accidentally released one of the genies of the lamp and ordered it to take him home. He then courted and married Dinarsade. One night, Dinarsade, Aladdin's magnificent palace, and the lamp disappeared. Blamed by the Caliph, Aladdin fled to avoid being executed. A storm at sea cast him ashore at Wak Wak. When he tried to pluck fruit from a ""tree"", it turned into a monster and grabbed him, but Achmed killed it. Achmed realizes the sorcerer had been responsible for Aladdin's fate, and is further enraged. He also reveals to Aladdin that his palace and the lamp were stolen by the sorcerer because of his obsession for Dinarsade. Then, the witch arrives. Since only the lamp can open the gates, she agrees to attack the sorcerer to get it. They engage in a magical duel, each transforming into various creatures (Sorcerer transforms into a lion, a scorpion, a vulture and a sea serpent and Witch transforms into a snake, a rooster and a whale). After a while, they resume their human forms and fling fireballs at each other. Finally, the witch slays the sorcerer. With the lamp, they are able to enter Wak Wak, just in time to save Pari Banu from being thrown to her death. A fierce battle erupts. A demon steals the lamp, but the witch gets it back. She summons creatures from the lamp who defeat the demons. One hydra-like creature seizes Pari Banu. When Achmed cuts off one of its heads, two more grow back immediately, but the witch stops this regeneration, allowing Achmed to kill it and rescue Pari Banu. A flying palace then settles to the ground. Inside, Achmed, Pari Banu, Aladdin, and the Caliph find Dinarsade. The two couples bid goodbye to the witch and fly home to the palace."
tt0016575,Across the Pacific,1926,78,"['Adventure', 'Romance', 'War']",6.4,41,"['nm0089524', 'nm0936079', 'nm0001485', 'nm0828314', 'nm0934232']",English,United States,0.576,1.3,"On November 17, 1941, on Governor's Island in New York City, Captain Rick Leland is court-martialed and discharged from the United States Army Coast Artillery Corps after he is caught stealing. He tries to join the Princess Patricia's Canadian Light Infantry but is coldly rebuffed. Ostensibly on his way to China to fight for Chiang Kai-shek, he boards a Japanese ship, the Genoa Maru, sailing from Halifax, Nova Scotia to Yokohama via the Panama Canal and Hawaii. On board, Leland meets Canadian Alberta Marlow who claims to be from Medicine Hat, and a lighthearted romance begins. The other passengers are Dr. Lorenz and his servant, T. Oki. Lorenz, a professor of sociology, admires the Japanese and therefore is very unpopular in the Philippines, where he resides. Leland, in turn, makes it clear that he will fight for anyone willing to pay him enough. During a stop in New York City, Leland is revealed as a secret agent when he reports to Colonel Hart, an undercover Army Intelligence officer. Lorenz is a known enemy spy, but Hart and Leland are uncertain about Marlow. Hart also warns him to look out for a Japanese criminal named Joe Totsuiko. Returning to the ship, Leland surprises a Filipino assassin about to shoot Lorenz. Leland gains Lorenz's confidence by remaining indifferent when Lorenz has the man killed. Totsuiko embarks as a passenger, in the guise of a wise-cracking young Nisei, and a different man returns as T. Oki. Lorenz pays Leland in advance for information concerning the military installations guarding the Panama Canal. In Panama, Captain Morrison announces that Japanese ships are being denied entry into the Canal and must detour around Cape Horn. Leland, Marlow and Lorenz wait for another vessel at Sam's hotel. Crates addressed to Dan Morton, Bountiful Plantation, are unloaded. Lorenz demands that Leland procure up-to-date schedules for the air patrol. On December 6, 1941, Leland meets with his local contact, A. V. Smith, and convinces him to provide real timetables, as Lorenz would recognize fakes. Smith adds that plantation owner Morton is a rich dipsomaniac and that Marlow is a buyer for Rogers Fifth Avenue in New York City. Leland hands over the schedules and is brutally beaten. He revives several hours later and immediately calls Smith, warning him to change the patrol schedule. Smith is killed after Leland hangs up. Lorenz and Marlow are gone. Sam sends Leland to a cinema, where a man whispers, ""Go Bountiful Plantation..."" and is killed. At the plantation, Leland sees a torpedo bomber being prepared. He is captured and brought to Lorenz. Also present are Totsuiko, Marlow, Morton, and the second T. Oki, who turns out to be a Japanese prince and pilot. Morton, whose weakness was exploited by the enemy agents to gain a base for their activities, is Marlow's father. Her only stake in the affair is his welfare. Lorenz reveals that Smith is dead, so the prince can destroy the Panama Canal locks without interference. Totsuiko is left to guard the prisoners. When Morton staggers to his feet, Totsuiko shoots him, but that enables Leland to overpower Totsuiko. Outside, Leland seizes a machine gun, shoots down the bomber as it is taking off, and dispatches Lorenz's henchmen. In the house, a defeated Lorenz attempts to commit seppuku, but his nerve fails him. He begs Leland to kill him. Leland refuses, telling Lorenz he ""has a date with Army Intelligence."" Leland and Marlow clasp hands and look up at a sky filling with American planes."
tt0017590,An Affair of the Follies,1927,70,"['Drama', 'Romance']",,,"['nm0832011', 'nm0235521', 'nm0400763', 'nm0831736', 'nm0398446']",Silent,United States,,,"Young husband Jerry, a clerk, loses his job, and in order to bring money into the house, his wife Tamara goes back to her old job as a dancer in the Follies. The husband doesn't like the idea at all, and they wind up separating. One night the clerk and his friend, an inventor, are dining at a restaurant, and the inventor is lamenting that he has a great invention but can't get in to see a millionaire named Hammersley in order get get financial backing. They don't know that Hammersley happens to be sitting at the next table. The three strike up a conversation and become friends. However, there's another thing Jerry also doesn't know--Hammersley is in love with Tamara and, in fact, she is going to his house that night to see him."
